JURISDICTI3,QJur_US,Sample Type,Parameter,ResultJuris,Units,LoadQUns,LoadsPoundsQUns
LAGUNA BEACH,1879478.3242043818,Dissolved,"Chromium, Total",0.134,ug/L,251850.09544338717,0.015722474784941768
LAGUNA BEACH,1879478.3242043818,Total,"Copper, Total",1.8375,ug/L,3453541.4207255514,0.2155973687860485
LAGUNA BEACH,1879478.3242043818,Dissolved,"Copper, Total",1.8375,ug/L,3453541.4207255514,0.2155973687860485
LAGUNA BEACH,1879478.3242043818,Total,Dissolved Organic Carbon,5.825,ug/L,10947961.238490524,0.6834583255394461
LAGUNA BEACH,1879478.3242043818,Total,"Hardness as CaCO3, Total",2275,ug/L,4275813187.5649686,266.9300756398696
LAGUNA BEACH,1879478.3242043818,Total,"Iron, Total",40,ug/L,75179132.96817528,4.693276055206498
LAGUNA BEACH,1879478.3242043818,Dissolved,"Iron, Total",40,ug/L,75179132.96817528,4.693276055206498
LAGUNA BEACH,1879478.3242043818,Total,"Lead, Total",0.1,ug/L,187947.83242043818,0.011733190138016244
LAGUNA BEACH,1879478.3242043818,Dissolved,"Lead, Total",0.1,ug/L,187947.83242043818,0.011733190138016244
LAGUNA BEACH,1879478.3242043818,Total,"Magnesium, Total",368.25,ug/L,692117892.8882636,43.207472683244816
LAGUNA BEACH,1879478.3242043818,Total,"Manganese, Total",64.875,ug/L,121931156.28275926,7.611907102038039
LAGUNA BEACH,1879478.3242043818,Dissolved,"Manganese, Total",64.875,ug/L,121931156.28275926,7.611907102038039
LAGUNA BEACH,1879478.3242043818,Total,MBAS,0.025,mg/L,46986.958105109545,2.933297534504061
LAGUNA BEACH,1879478.3242043818,Total,"Mercury, Total",0.025,ug/L,46986.958105109545,0.002933297534504061
LAGUNA BEACH,1879478.3242043818,Dissolved,"Mercury, Total",0.025,ug/L,46986.958105109545,0.002933297534504061
LAGUNA BEACH,1879478.3242043818,Total,"Nickel, Total",2.2,ug/L,4134852.31324964,0.2581301830363574
LAGUNA BEACH,1879478.3242043818,Dissolved,"Nickel, Total",2.2,ug/L,4134852.31324964,0.2581301830363574
LAGUNA BEACH,1879478.3242043818,Total,"Selenium, Total",1.9625,ug/L,3688476.211251099,0.23026385645856878
LAGUNA BEACH,1879478.3242043818,Dissolved,"Selenium, Total",1.9625,ug/L,3688476.211251099,0.23026385645856878
LAGUNA BEACH,1879478.3242043818,Total,"Silver, Total",0.1,ug/L,187947.83242043818,0.011733190138016244
LAGUNA BEACH,1879478.3242043818,Dissolved,"Silver, Total",0.1,ug/L,187947.83242043818,0.011733190138016244
LAGUNA BEACH,1879478.3242043818,Total,"Thallium, Total",0.1,ug/L,187947.83242043818,0.011733190138016244
LAGUNA BEACH,1879478.3242043818,Dissolved,"Thallium, Total",0.1,ug/L,187947.83242043818,0.011733190138016244
LAGUNA BEACH,1879478.3242043818,Total,Total Organic Carbon (TOC),6.125,mg/L,11511804.73575184,718.657895953495
LAGUNA BEACH,1879478.3242043818,Total,"Zinc, Total",5,ug/L,9397391.62102191,0.5866595069008123
LAGUNA BEACH,1879478.3242043818,Dissolved,"Zinc, Total",5,ug/L,9397391.62102191,0.5866595069008123
LAGUNA BEACH,1879478.3242043818,Total,"Ammonia, as Nitrogen",0.05,mg/L,93973.91621021909,5.866595069008122
LAGUNA BEACH,1879478.3242043818,Total,Chloride,1562.5,mg/L,2936684881.5693464,183331.0959065038
LAGUNA BEACH,1879478.3242043818,Total,Nitrate + Nitrite as N,0.26,mg/L,488664.36429313925,30.50629435884223
LAGUNA BEACH,1879478.3242043818,Total,"Nitrogen, Total Kjeldahl",0.6525,mg/L,1226359.606543359,76.55906565055598
LAGUNA BEACH,1879478.3242043818,Total,Orthophosphate as P,0.05675,mg/L,106660.39489859866,6.658585403324218
LAGUNA BEACH,1879478.3242043818,Total,pH,7.9575,NA,14955948.764856366,NA
LAGUNA BEACH,1879478.3242043818,Total,Phosphorus as PO4,0.405,mg/L,761188.7213027746,47.519420058965785
LAGUNA BEACH,1879478.3242043818,Total,SpecificConductivity,8825,NA,16586396211.10367,NA
LAGUNA BEACH,1879478.3242043818,Total,Sulfate,2072.5,mg/L,3895218826.9135814,243170.36561038668
LAGUNA BEACH,1879478.3242043818,Total,Total Dissolved Solids,5575,mg/L,10478091657.439428,654125.3501944055
LAGUNA BEACH,1879478.3242043818,Total,VSS,2.8,mg/L,5262539.307772269,328.5293238644548
LAGUNA BEACH,1879478.3242043818,Total,TSS,1.6,mg/L,3007165.318727011,187.7310422082599
LAGUNA BEACH,1879478.3242043818,Total,E. coli,1041.5,CFU/100 mL,1957476674.6588635,554294755009.8011
LAGUNA BEACH,1879478.3242043818,Total,Enterococcus,350,CFU/100 mL,657817413.4715337,186272841337.90726
LAGUNA BEACH,1879478.3242043818,Total,Fecal coliforms,2050,CFU/100 mL,3852930564.618983,1091026642122.0282
LAGUNA BEACH,1879478.3242043818,Total,Total Coliforms,6392.5,CFU/100 mL,12014565187.476511,3402140395007.3486
