FACILITYID,AVGDISCHARGE,JURISDICTI,SAMPLEDRY,PERSISTENTFLOW,PRIORITY
L02-502-6,NA,SAN JUAN CAPISTRANO,NA,Unknown,1
L03-497-1,0,SAN JUAN CAPISTRANO,NA,Unknown,1
L02-502-5,0,SAN JUAN CAPISTRANO,NA,Unknown,1
L01-728-9,0,DANA POINT,NA,Unknown,1
L01-727-3,0.007959,DANA POINT,NA,Unknown,1
J03-9216-2,1.41452,LAGUNA NIGUEL,NA,Yes,2
M02-085-2,0.201592,SAN CLEMENTE,1,Yes,2
J01-9259-3,0.00601,LAKE FOREST,NA,Yes,1
J03-9234-6,1.290672,LAGUNA NIGUEL,NA,Yes,2
L02-396-1,0.023163,MISSION VIEJO,NA,Yes,2
L03-708-13,0.043565,LAGUNA NIGUEL,NA,Yes,2
J01-9364-4,0,ORANGE CO,NA,Unknown,1
M02-052-4,0.045857,SAN CLEMENTE,NA,Yes,2
L01-613-1,0.0058,DANA POINT,NA,Unknown,NA
L02-366-1 (MVL02P14),0.023387,MISSION VIEJO,NA,Yes,1
M01-047-1,0.350968,SAN CLEMENTE,1,Yes,2
L01-471-1,0.001375,ORANGE CO,NA,Unknown,NA
L01-517-7,0.001777,ORANGE CO,NA,Unknown,NA
L01-517-6,0.02934,ORANGE CO,NA,Yes,NA
L01-335-1,0.01107,ORANGE CO,NA,Yes,2
L01-494-1,0.095255,ORANGE CO,NA,Yes,NA
L02-344-2,0.408144,ORANGE CO,NA,Yes,NA
SC11-130-2,0.013885,DANA POINT,NA,Unknown,NA
DP01-12022-2,0,DANA POINT,NA,Unknown,NA
DP01-12022-1,0.055382,DANA POINT,NA,Yes,NA
K01-12159-3,0.021493,DANA POINT,1,Yes,2
K01-12159-2,0.154127,DANA POINT,1,Yes,2
LC03-11515-1,0.008369,LAGUNA BEACH,NA,Yes,NA
I00-11518-2,0.0048,LAGUNA BEACH,NA,Yes,NA
LC04-11199-1,NA,LAGUNA BEACH,NA,Unknown,NA
