Station,date,Sample Type,Field Specific Conductivity,Date,Parameter,Units,Qualifier,Result
L03-418-8,6/15/2022,Total,3205,2022-06-15,d12-Chrysene,ng/L,NA,81
K01-12177-1 (K01P07),6/15/2022,Total,2416,2022-06-15,d12-Chrysene,ng/L,NA,78
J03-9221-1 (J03P02),6/15/2022,Total,5136,2022-06-15,d12-Chrysene,ng/L,NA,81
J01-9224-1 (J01P24),6/15/2022,Total,2769,2022-06-15,d12-Chrysene,ng/L,NA,91
J01-9224-2 (J01P25),6/15/2022,Total,2576,2022-06-15,d12-Chrysene,ng/L,NA,59
L03-662-3 (L03P16),6/14/2022,Total,2551,2022-06-14,d12-Chrysene,ng/L,NA,92
L03-214-2 (L03P18),6/14/2022,Total,3395,2022-06-14,d12-Chrysene,ng/L,NA,82
L03-316-3 (L03P12),6/14/2022,Total,4833,2022-06-14,d12-Chrysene,ng/L,NA,86
J01-9992-1 (J01P27),6/23/2022,Total,3165,2022-06-23,d12-Chrysene,ng/L,NA,103
J01-9131-1 (J01P28),6/23/2022,Total,2686,2022-06-23,d12-Chrysene,ng/L,NA,109
J01-9007-1 (J02P05),6/23/2022,Total,1529,2022-06-23,d12-Chrysene,ng/L,NA,101
J06-10011-1 (J06P01),6/23/2022,Total,3190,2022-06-23,d12-Chrysene,ng/L,NA,124
J06-9079-1 (J06P03),6/23/2022,Total,2124.6,2022-06-23,d12-Chrysene,ng/L,NA,74
J01-9082-2,6/23/2022,Total,1402.2,2022-06-23,d12-Chrysene,ng/L,NA,124
I01-11010-1,6/21/2022,Total,4030,2022-06-21,d12-Chrysene,ng/L,NA,95
I00-11468-1,6/21/2022,Total,9274,2022-06-21,d12-Chrysene,ng/L,NA,89
J01-10004-1 (J01P01),6/21/2022,Total,2028,2022-06-21,d12-Chrysene,ng/L,NA,93
L01-749-2,6/22/2022,Total,5316,2022-06-22,d12-Chrysene,ng/L,NA,65
L05-503-1,6/22/2022,Total,3947,2022-06-22,d12-Chrysene,ng/L,NA,74
L01-724-4 (L01P03),6/22/2022,Total,2815,2022-06-22,d12-Chrysene,ng/L,NA,86
L01-724-1 (L01S01),6/22/2022,Total,6586,2022-06-22,d12-Chrysene,ng/L,NA,127
L01-728-5 (L01-DP),6/22/2022,Total,1110,2022-06-22,d12-Chrysene,ng/L,NA,140
K01-12126-1 (K01S01),6/22/2022,Total,5426,2022-06-22,d12-Chrysene,ng/L,NA,49
K01-12159-2,6/22/2022,Total,2927,2022-06-22,d12-Chrysene,ng/L,NA,74
K01-12159-3,6/22/2022,Total,3829,2022-06-22,d12-Chrysene,ng/L,NA,114
