Station,Sample Type,Parameter,Qualifier,ResultAvg,Units,JURISDICTI3,Qadj_Qall,LoadQadj_Qall,LoadsPoundsQS,LoadsJurs
L03-214-2 (L03P18),Total,PCB030,NA,62.5,ng/L,RANCHO SANTA MARGARITA,88783.6516800166,5548978.230001037,3.4641110677281203e-4,0.07415327532753604
L03-316-3 (L03P12),Total,PCB030,NA,66.5,ng/L,MISSION VIEJO,893435.1835532822,59413439.70629326,0.003709056794377249,0.04071487042609705
J01-9992-1 (J01P27),Total,PCB030,NA,79,ng/L,ALISO VIEJO,432180.7921682628,34142282.58129276,0.002131431302575775,0.019608883457268366
J01-9992-1 (J01P27),Total,PCB030,NA,79,ng/L,ORANGE CO,1267.6285979957179,100142.6592416617,6.251696796271288e-6,0.11374288616566804
J01-9131-1 (J01P28),Total,PCB030,NA,57.5,ng/L,ALISO VIEJO,236560.03199999995,13602201.839999996,8.49157015694527e-4,0.019608883457268366
J01-9007-1 (J02P05),Total,PCB030,NA,92,ng/L,ALISO VIEJO,677326.4713948012,62314035.36832171,0.0038901349157782587,0.019608883457268366
J01-9007-1 (J02P05),Total,PCB030,NA,92,ng/L,ORANGE CO,12455.793598780088,1145933.0110877682,7.153820148585097e-5,0.11374288616566804
J06-10011-1 (J06P01),Total,PCB030,NA,98,ng/L,ALISO VIEJO,486377.92818020063,47665036.96165966,0.002975628579507408,0.019608883457268366
J06-10011-1 (J06P01),Total,PCB030,NA,98,ng/L,LAGUNA HILLS,682198.5901776025,66855461.83740504,0.004173646673127902,0.004173646673127902
J06-10011-1 (J06P01),Total,PCB030,NA,98,ng/L,LAGUNA WOODS,1248649.7842748633,122367678.85893661,0.007639158293604684,0.007731263827144745
J06-10011-1 (J06P01),Total,PCB030,NA,98,ng/L,LAKE FOREST,751296.2870919254,73627036.1350087,0.004596381895685581,0.013685527650510678
J06-9079-1 (J06P03),Total,PCB030,NA,87,ng/L,ALISO VIEJO,751510.5920908037,65381421.51189992,0.004081625418147074,0.019608883457268366
J01-9082-2,Total,PCB030,NA,90.5,ng/L,ALISO VIEJO,998641.6316034046,90377067.66010812,0.0056420513358210675,0.019608883457268366
J01-9082-2,Total,PCB030,NA,90.5,ng/L,ORANGE CO,21969.628370704308,1988251.3675487398,1.2412237500794581e-4,0.11374288616566804
I01-11010-1,Total,PCB030,NA,76.5,ng/L,LAGUNA BEACH,202915.75420800003,15523055.196912002,9.690718738423909e-4,0.002098234797384127
I00-11468-1,Total,PCB030,NA,85,ng/L,LAGUNA BEACH,212793.76400754126,18087469.94064101,0.0011291629235417363,0.002098234797384127
I00-11468-1,Total,PCB030,NA,85,ng/L,ORANGE CO,19089.643866775274,1622619.7286758982,1.0129675640877633e-4,0.11374288616566804
J01-10004-1 (J01P01),Total,PCB030,NA,71,ng/L,LAKE FOREST,2050623.5094314318,145594269.16963166,0.009089145754825096,0.013685527650510678
L05-503-1,Total,PCB030,NA,91.5,ng/L,SAN JUAN CAPISTRANO,1199564.4170879999,109760144.16355199,0.0068520962676821215,0.013479586819412559
L01-724-4 (L01P03),Total,PCB030,NA,80,ng/L,LAGUNA NIGUEL,468158.31861034513,37452665.48882761,0.0023380915847590646,0.050195428300562187
L01-724-4 (L01P03),Total,PCB030,NA,80,ng/L,SAN JUAN CAPISTRANO,1145681.827242111,91654546.17936888,0.005721801648291752,0.013479586819412559
L01-724-1 (L01S01),Total,PCB030,NA,54.5,ng/L,DANA POINT,245138.73214270748,13360060.901777558,8.340406632909195e-4,0.019522140765512754
L01-724-1 (L01S01),Total,PCB030,NA,54.5,ng/L,LAGUNA NIGUEL,174089.35162087894,9487869.663337901,5.923078618732399e-4,0.050195428300562187
L01-724-1 (L01S01),Total,PCB030,NA,54.5,ng/L,SAN JUAN CAPISTRANO,256083.45119911397,13956548.090351712,8.712781110885362e-4,0.013479586819412559
L01-728-5 (L01-DP),Total,PCB030,NA,101.5,ng/L,DANA POINT,0,0,0,0.019522140765512754
K01-12126-1 (K01S01),Total,PCB030,NA,68.5,ng/L,DANA POINT,2401759.02142806,164520492.9678221,0.010270670327676028,0.019522140765512754
K01-12126-1 (K01S01),Total,PCB030,NA,68.5,ng/L,LAGUNA NIGUEL,6437196.487691939,440947959.4068978,0.027527458987224737,0.050195428300562187
K01-12159-2,Total,PCB030,NA,69,ng/L,DANA POINT,1673540.3519999993,115474284.28799994,0.007208818086135638,0.019522140765512754
K01-12159-3,Total,PCB030,NA,83.5,ng/L,DANA POINT,133122.52800000002,11115731.088000001,6.939318464009031e-4,0.019522140765512754
L05-489-3,Total,PCB030,NA,38,ng/L,ORANGE CO,29545076.777328,1122712917.538464,0.07008861960385805,0.11374288616566804
L05-049-1,Total,PCB030,NA,63,ng/L,ORANGE CO,6237821.599848001,392982760.7904241,0.02453309194331091,0.11374288616566804
L02-374-1 (L02P50),Total,PCB030,NA,69.5,ng/L,ORANGE CO,2819475.9723715195,195953580.0798206,0.012232972222623555,0.11374288616566804
L01-404-1,Total,PCB030,NA,59.5,ng/L,ORANGE CO,765057.1882060798,45520902.698261745,0.0028417747612968004,0.11374288616566804
L01-340-1,Total,PCB030,NA,78.5,ng/L,ORANGE CO,106950.06735932868,8395580.2877073,5.24118520368415e-4,0.11374288616566804
L01-340-1,Total,PCB030,NA,78.5,ng/L,RANCHO SANTA MARGARITA,1313.8942256581051,103140.69671416125,6.438858006127888e-6,0.07415327532753604
L02-246-1 (L11P01),Total,PCB030,NA,81.5,ng/L,RANCHO SANTA MARGARITA,1257301.4399999997,102470067.35999997,0.006396992017980139,0.07415327532753604
L02-641-1,Total,PCB030,NA,64,ng/L,ORANGE CO,4986.284926966567,319122.23532586027,1.992213379705841e-5,0.11374288616566804
L02-641-1,Total,PCB030,NA,64,ng/L,RANCHO SANTA MARGARITA,843182.469984656,53963678.07901798,0.0033688395726290065,0.07415327532753604
L02-641-2,Total,PCB030,NA,58.5,ng/L,ORANGE CO,20483.18968395988,1198266.5965116532,7.48052777829e-5,0.11374288616566804
L02-641-2,Total,PCB030,NA,58.5,ng/L,RANCHO SANTA MARGARITA,3463714.3131314125,202627287.31818762,0.012649597809334502,0.07415327532753604
L01-731-1 (L08TBN2),Total,PCB030,NA,69,ng/L,ORANGE CO,723305.629006651,49908088.40145892,0.003115657590183319,0.11374288616566804
