FacilityID,JURISDICTI3,Qadj_Qall,avgCnx,DischargeJ_cf,DischargeJ_af,JURISDICTI,AnnualCF,QJur_US,QJur_S
J01-10017-1 (J01TBN4),ALISO VIEJO,31112.350640999997,0.5,116347522.37064542,2670.9715879395185,ALISO VIEJO,62224.701281999995,112756296.95986444,NA
J01-10019-1 (J01P33),ALISO VIEJO,257003.81778735007,0.885,116347522.37064542,2670.9715879395185,ALISO VIEJO,290399.7941100001,112756296.95986444,NA
J01-9005-1 (J03P05),LAGUNA NIGUEL,1072403.8931159999,1,103212442.91903976,2369.431655625339,LAGUNA NIGUEL,1072403.8931159999,91963958.14168793,NA
J01-9008-1 (J01P30),ALISO VIEJO,992657.603988,1,116347522.37064542,2670.9715879395185,ALISO VIEJO,992657.603988,112756296.95986444,NA
J01-9040-1,LAKE FOREST,9360117.3847105,0.8,13086268.751089767,300.4193928165695,LAKE FOREST,11700146.730888125,9791587.735475397,NA
J01-9040-1,ORANGE CO,2007.7635337770866,0.8,54406355.72231314,1248.9980652505315,LAKE FOREST,2509.704417221358,49840801.3300099,NA
J01-9046-1,LAKE FOREST,42974.2368,0.6666666666666666,13086268.751089767,300.4193928165695,LAKE FOREST,64461.3552,9791587.735475397,NA
J01-9046-2,LAKE FOREST,98154.54516785848,1,13086268.751089767,300.4193928165695,LAKE FOREST,98154.54516785848,9791587.735475397,NA
J01-9046-2,MISSION VIEJO,605.9853875940987,1,29837016.65099346,684.9636513083898,LAKE FOREST,605.9853875940987,20435540.922064316,NA
J01-9066-1 (J01P04),LAKE FOREST,1204.1882928866269,1,13086268.751089767,300.4193928165695,MISSION VIEJO,1204.1882928866269,9791587.735475397,NA
J01-9066-1 (J01P04),MISSION VIEJO,41121.38521047162,1,29837016.65099346,684.9636513083898,MISSION VIEJO,41121.38521047162,20435540.922064316,NA
