JURISDICTI3,Sample Type,Parameter,Units,LoadsPoundsQUns,LoadQUns_j
LAGUNA BEACH,Total,Tetrachlorvinphos (Stirofos),ng/L,2.3466380276032487e-4,2.3466380276032487e-4
LAGUNA BEACH,Total,Tokuthion (Prothiofos),ng/L,3.519957041404873e-4,3.519957041404873e-4
LAGUNA BEACH,Total,Toxaphene,ng/L,0.0014666487672520304,0.0014666487672520304
LAGUNA BEACH,Total,trans-Nonachlor,ng/L,1.1733190138016244e-4,1.1733190138016244e-4
LAGUNA BEACH,Total,Trichloronate,ng/L,1.1733190138016244e-4,1.1733190138016244e-4
LAGUNA BEACH,Total,"Arsenic, Total",ug/L,0.16074470489082254,0.16074470489082254
LAGUNA BEACH,Dissolved,"Arsenic, Total",ug/L,0.16074470489082254,0.16074470489082254
LAGUNA BEACH,Total,"Cadmium, Total",ug/L,0.011733190138016244,0.011733190138016244
LAGUNA BEACH,Dissolved,"Cadmium, Total",ug/L,0.011733190138016244,0.011733190138016244
LAGUNA BEACH,Total,"Calcium, Total",ug/L,35.6102320688793,35.6102320688793
LAGUNA BEACH,Total,Chromium 6+,ug/L,0.005796195928180024,0.005796195928180024
LAGUNA BEACH,Dissolved,Chromium 6+,ug/L,0.005796195928180024,0.005796195928180024
LAGUNA BEACH,Total,"Chromium, Total",ug/L,0.015722474784941768,0.015722474784941768
LAGUNA BEACH,Dissolved,"Chromium, Total",ug/L,0.015722474784941768,0.015722474784941768
LAGUNA BEACH,Total,"Copper, Total",ug/L,0.2155973687860485,0.2155973687860485
LAGUNA BEACH,Dissolved,"Copper, Total",ug/L,0.2155973687860485,0.2155973687860485
LAGUNA BEACH,Total,Dissolved Organic Carbon,ug/L,0.6834583255394461,0.6834583255394461
LAGUNA BEACH,Total,"Hardness as CaCO3, Total",ug/L,266.9300756398696,266.9300756398696
LAGUNA BEACH,Total,"Iron, Total",ug/L,4.693276055206498,4.693276055206498
LAGUNA BEACH,Dissolved,"Iron, Total",ug/L,4.693276055206498,4.693276055206498
LAGUNA BEACH,Total,"Lead, Total",ug/L,0.011733190138016244,0.011733190138016244
LAGUNA BEACH,Dissolved,"Lead, Total",ug/L,0.011733190138016244,0.011733190138016244
LAGUNA BEACH,Total,"Magnesium, Total",ug/L,43.207472683244816,43.207472683244816
LAGUNA BEACH,Total,"Manganese, Total",ug/L,7.611907102038039,7.611907102038039
LAGUNA BEACH,Dissolved,"Manganese, Total",ug/L,7.611907102038039,7.611907102038039
LAGUNA BEACH,Total,MBAS,mg/L,2.933297534504061,2.933297534504061
LAGUNA BEACH,Total,"Mercury, Total",ug/L,0.002933297534504061,0.002933297534504061
LAGUNA BEACH,Dissolved,"Mercury, Total",ug/L,0.002933297534504061,0.002933297534504061
LAGUNA BEACH,Total,"Nickel, Total",ug/L,0.2581301830363574,0.2581301830363574
LAGUNA BEACH,Dissolved,"Nickel, Total",ug/L,0.2581301830363574,0.2581301830363574
LAGUNA BEACH,Total,"Selenium, Total",ug/L,0.23026385645856878,0.23026385645856878
LAGUNA BEACH,Dissolved,"Selenium, Total",ug/L,0.23026385645856878,0.23026385645856878
LAGUNA BEACH,Total,"Silver, Total",ug/L,0.011733190138016244,0.011733190138016244
LAGUNA BEACH,Dissolved,"Silver, Total",ug/L,0.011733190138016244,0.011733190138016244
LAGUNA BEACH,Total,"Thallium, Total",ug/L,0.011733190138016244,0.011733190138016244
LAGUNA BEACH,Dissolved,"Thallium, Total",ug/L,0.011733190138016244,0.011733190138016244
LAGUNA BEACH,Total,Total Organic Carbon (TOC),mg/L,718.657895953495,718.657895953495
LAGUNA BEACH,Total,"Zinc, Total",ug/L,0.5866595069008123,0.5866595069008123
LAGUNA BEACH,Dissolved,"Zinc, Total",ug/L,0.5866595069008123,0.5866595069008123
LAGUNA BEACH,Total,"Ammonia, as Nitrogen",mg/L,5.866595069008122,5.866595069008122
LAGUNA BEACH,Total,Nitrate + Nitrite as N,mg/L,30.50629435884223,30.50629435884223
LAGUNA BEACH,Total,"Nitrogen, Total Kjeldahl",mg/L,76.55906565055598,76.55906565055598
LAGUNA BEACH,Total,Orthophosphate as P,mg/L,6.658585403324218,6.658585403324218
LAGUNA BEACH,Total,pH,NA,NA,NA
LAGUNA BEACH,Total,Phosphorus as PO4,mg/L,47.519420058965785,47.519420058965785
LAGUNA BEACH,Total,Sulfate,mg/L,243170.36561038668,243170.36561038668
LAGUNA BEACH,Total,Total Dissolved Solids,mg/L,654125.3501944055,654125.3501944055
LAGUNA BEACH,Total,VSS,mg/L,328.5293238644548,328.5293238644548
LAGUNA BEACH,Total,TSS,mg/L,187.7310422082599,187.7310422082599
LAGUNA BEACH,Total,E. coli,CFU/100 mL,554294755009.8011,554294755009.8011
LAGUNA BEACH,Total,Enterococcus,CFU/100 mL,186272841337.90726,186272841337.90726
LAGUNA BEACH,Total,Fecal coliforms,CFU/100 mL,1091026642122.0282,1091026642122.0282
LAGUNA BEACH,Total,Total Coliforms,CFU/100 mL,3402140395007.3486,3402140395007.3486
LAGUNA WOODS,Total,d10-Acenaphthene,ng/L,0,0
LAGUNA WOODS,Total,d10-Phenanthrene,ng/L,0,0
LAGUNA WOODS,Total,d12-Chrysene,ng/L,0,0
LAGUNA WOODS,Total,d8-Naphthalene,ng/L,0,0
LAGUNA WOODS,Total,PCB030,ng/L,0,0
LAGUNA WOODS,Total,PCB112,ng/L,0,0
LAGUNA WOODS,Total,PCB198,ng/L,0,0
LAGUNA WOODS,Total,TCMX,ng/L,0,0
LAGUNA WOODS,Total,"2,4'-DDD",ng/L,0,0
LAGUNA WOODS,Total,"2,4'-DDE",ng/L,0,0
LAGUNA WOODS,Total,"2,4'-DDT",ng/L,0,0
LAGUNA WOODS,Total,"4,4'-DDD",ng/L,0,0
LAGUNA WOODS,Total,"4,4'-DDE",ng/L,0,0
LAGUNA WOODS,Total,"4,4'-DDT",ng/L,0,0
LAGUNA WOODS,Total,Acenaphthene,ng/L,0,0
LAGUNA WOODS,Total,Acenaphthylene,ng/L,0,0
LAGUNA WOODS,Total,Aldrin,ng/L,0,0
LAGUNA WOODS,Total,Anthracene,ng/L,0,0
LAGUNA WOODS,Total,Benz[a]anthracene,ng/L,0,0
LAGUNA WOODS,Total,Benzo[a]pyrene,ng/L,0,0
LAGUNA WOODS,Total,Benzo[b]fluoranthene,ng/L,0,0
LAGUNA WOODS,Total,"Benzo[g,h,i]perylene",ng/L,0,0
LAGUNA WOODS,Total,Benzo[k]fluoranthene,ng/L,0,0
LAGUNA WOODS,Total,BHC-alpha,ng/L,0,0
LAGUNA WOODS,Total,BHC-beta,ng/L,0,0
LAGUNA WOODS,Total,BHC-delta,ng/L,0,0
LAGUNA WOODS,Total,BHC-gamma,ng/L,0,0
LAGUNA WOODS,Total,Bolstar (Sulprofos),ng/L,0,0
LAGUNA WOODS,Total,Chlordane-alpha,ng/L,0,0
LAGUNA WOODS,Total,Chlordane-gamma,ng/L,0,0
LAGUNA WOODS,Total,Chlorpyrifos,ng/L,0,0
LAGUNA WOODS,Total,Chrysene,ng/L,0,0
LAGUNA WOODS,Total,Demeton,ng/L,0,0
LAGUNA WOODS,Total,Diazinon,ng/L,0,0
LAGUNA WOODS,Total,"Dibenz[a,h]anthracene",ng/L,0,0
LAGUNA WOODS,Total,Dichlorvos,ng/L,0,0
LAGUNA WOODS,Total,Dieldrin,ng/L,0,0
LAGUNA WOODS,Total,Dimethoate,ng/L,0,0
LAGUNA WOODS,Total,Disulfoton,ng/L,0,0
LAGUNA WOODS,Total,Endosulfan-I,ng/L,0,0
LAGUNA WOODS,Total,Endosulfan-II,ng/L,0,0
LAGUNA WOODS,Total,Endosulfan Sulfate,ng/L,0,0
LAGUNA WOODS,Total,Endrin,ng/L,0,0
LAGUNA WOODS,Total,Endrin Aldehyde,ng/L,0,0
LAGUNA WOODS,Total,Ethoprop (Ethoprofos),ng/L,0,0
LAGUNA WOODS,Total,Fenchlorphos (Ronnel),ng/L,0,0
LAGUNA WOODS,Total,Fensulfothion,ng/L,0,0
LAGUNA WOODS,Total,Fenthion,ng/L,0,0
